variant,margin_m,band_m,cohort,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,eligible_scenes,lidar_wins,radar_wins,tied_scenes,equal_scene_lidar_percent,equal_scene_radar_percent,equal_scene_difference_pp,min_scene_difference_pp,max_scene_difference_pp,leave_one_scene_out_min_pp,equal_track_lidar_percent,equal_track_radar_percent
aligned,0,200-250,passenger_cars,3,49,10,3,41,0,0,41,0,8,83.6734693877551,0.0,83.6734693877551,201.91332212775274,249.9157658332935,3,2,0,1,56.759906759906755,0.0,56.759906759906755,0.0,88.46153846153845,40.909090909090914,42.5,0.0
aligned,0,200-250,passenger_cars,5,49,10,3,40,0,0,40,0,9,81.63265306122449,0.0,81.63265306122449,201.91332212775274,249.9157658332935,3,2,0,1,55.24475524475523,0.0,55.24475524475523,0.0,88.46153846153845,38.63636363636363,40.0,0.0
aligned,0,200-250,forward_vehicles,1,128,38,4,108,79,69,39,10,10,84.375,61.71875,22.65625,200.0481951240057,249.7046674149109,4,3,1,0,83.36984367793097,65.93687655946962,17.432967118461345,-21.052631578947366,48.484848484848484,7.082339996332298,76.06516290726817,83.60148623306517
aligned,0,200-250,forward_vehicles,3,128,38,4,103,34,30,73,4,21,80.46875,26.5625,53.90625,200.0481951240057,249.7046674149109,4,4,0,0,79.46721015398808,29.540869913142057,49.92634024084602,21.052631578947373,66.66666666666667,44.346231432239136,72.86967418546367,38.1265664160401
aligned,0,200-250,forward_vehicles,5,128,38,4,102,16,15,87,1,25,79.6875,12.5,67.1875,200.0481951240057,249.7046674149109,4,4,0,0,78.15142068030386,13.406242879927088,64.74517780037678,47.368421052631575,73.17073170731707,61.936659831396675,70.23809523809524,18.20175438596491
aligned,0,200-250,all,1,387,112,5,303,96,85,218,11,73,78.29457364341084,24.8062015503876,53.48837209302325,200.0481951240057,249.9157658332935,5,5,0,0,80.91025515837546,25.568713241645572,55.34154191672989,5.000000000000004,100.0,44.17692739591236,73.73937074829931,30.27805527805528
aligned,0,200-250,all,3,387,112,5,274,37,33,241,4,109,70.80103359173127,9.560723514211885,61.240310077519375,200.0481951240057,249.9157658332935,5,5,0,0,75.79691736834594,10.26108102423892,65.53583634410703,37.5,100.0,56.919795430133775,66.98341836734694,12.11734693877551
aligned,0,200-250,all,5,387,112,5,242,16,15,227,1,144,62.532299741602074,4.1343669250646,58.39793281653747,200.0481951240057,249.9157658332935,5,5,0,0,69.63555617315016,4.391394319965748,65.24416185318441,47.5,100.0,56.55520231648052,57.91028911564626,5.357142857142857
aligned,0,250-300,vehicles,1,166,44,4,141,64,55,86,9,16,84.93975903614458,38.55421686746988,46.3855421686747,250.0497157484766,299.80861071369907,4,4,0,0,83.95195058000952,40.06743604004449,43.88451453996504,34.48275862068966,53.57142857142857,40.65554319614386,77.25439882697947,48.70937194525904
aligned,0,250-300,vehicles,3,166,44,4,136,9,9,127,0,30,81.92771084337349,5.421686746987952,76.50602409638554,250.0497157484766,299.80861071369907,4,4,0,0,81.50552200858095,5.209160972509137,76.29636103607183,65.51724137931035,87.09677419354838,72.69622331691298,76.2035679374389,8.333333333333332
