variant,elevation_deg,band_m,group,tolerance_m,frames,reference_voxels,lidar_supported,lidar_percent,lidar_equal_frame_percent,radar_supported,radar_percent,radar_equal_frame_percent
aligned,20,30-40,potential_label,0.4,16,2133,1249,58.55602437880919,57.228121549027584,34,1.5939990623534928,1.8535397292834208
aligned,20,30-40,potential_label,0.8,16,2133,1986,93.10829817158931,93.58051388457194,239,11.204875761837787,13.049661107406344
aligned,20,30-40,potential_label,1.2,16,2133,2087,97.84341303328645,98.36610082360107,484,22.691045475855603,26.639019690071855
aligned,20,30-40,raised_geometry,0.4,6,87,44,50.57471264367816,32.996201329534664,4,4.597701149425287,2.4691358024691357
aligned,20,30-40,raised_geometry,0.8,6,87,81,93.10344827586206,74.81481481481482,27,31.03448275862069,16.690408357075025
aligned,20,30-40,raised_geometry,1.2,6,87,84,96.55172413793103,76.66666666666667,59,67.816091954023,42.065527065527064
aligned,20,30-40,traversable_label,0.4,10,872,425,48.73853211009175,43.006824830358326,39,4.472477064220183,4.328735347613507
aligned,20,30-40,traversable_label,0.8,10,872,721,82.68348623853211,77.52705285160421,199,22.821100917431192,18.241208195518613
aligned,20,30-40,traversable_label,1.2,10,872,787,90.25229357798165,86.01839343152191,401,45.98623853211009,38.8604270592643
ros_origin,10,10-20,near_ground_geometry,0.4,15,3179,2753,86.59955960994023,87.63095937574512,108,3.3972947467757155,3.032227914454905
ros_origin,10,10-20,near_ground_geometry,0.8,15,3179,3169,99.68543567159485,99.78260985839977,680,21.390374331550802,20.985459137795917
ros_origin,10,10-20,near_ground_geometry,1.2,15,3179,3179,100.0,100.0,1396,43.913180245360174,44.059090493184605
ros_origin,10,10-20,nontraversable_label,0.4,20,13344,9427,70.64598321342926,73.63639626491863,573,4.294064748201439,4.453676786595705
ros_origin,10,10-20,nontraversable_label,0.8,20,13344,12727,95.37619904076739,95.66948454148925,2545,19.07224220623501,19.966714147308306
ros_origin,10,10-20,nontraversable_label,1.2,20,13344,13182,98.78597122302158,98.4273584833875,4999,37.462529976019184,38.84207173201633
ros_origin,10,10-20,potential_label,0.4,20,18394,14376,78.15592040882896,77.47318428627173,657,3.5718168968141786,3.5554850025667037
ros_origin,10,10-20,potential_label,0.8,20,18394,17997,97.8416875067957,95.31769603797825,3533,19.20735022289877,20.026575943011593
ros_origin,10,10-20,potential_label,1.2,20,18394,18291,99.44003479395455,96.98225305827035,6797,36.952267043601175,38.593177064892416
ros_origin,10,10-20,raised_geometry,0.4,15,3011,2009,66.72201926270343,69.78575068534361,87,2.8894055131185654,2.8531252108963403
ros_origin,10,10-20,raised_geometry,0.8,15,3011,2898,96.24709398870807,97.00734300048161,497,16.506144138160078,16.368431106020676
ros_origin,10,10-20,raised_geometry,1.2,15,3011,3009,99.9335768847559,99.85172413793104,1163,38.62504151444703,38.00822963977797
ros_origin,10,10-20,traversable_label,0.4,16,3896,3034,77.87474332648871,73.54264849941686,109,2.797741273100616,2.4080897556946916
ros_origin,10,10-20,traversable_label,0.8,16,3896,3829,98.28028747433265,98.35134259923879,628,16.119096509240247,14.225667009464626
ros_origin,10,10-20,traversable_label,1.2,16,3896,3893,99.92299794661191,99.90773582395408,1412,36.24229979466119,32.6832444177747
ros_origin,10,2-10,near_ground_geometry,0.4,20,2375,2242,94.4,94.63447954103341,116,4.88421052631579,4.318939900778744
ros_origin,10,2-10,near_ground_geometry,0.8,20,2375,2375,100.0,100.0,602,25.347368421052632,26.338174243088975
ros_origin,10,2-10,near_ground_geometry,1.2,20,2375,2375,100.0,100.0,1251,52.67368421052632,54.77173836441697
ros_origin,10,2-10,nontraversable_label,0.4,20,10933,9751,89.18869477727979,89.81200843642792,400,3.658648129516144,3.5368786644781816
ros_origin,10,2-10,nontraversable_label,0.8,20,10933,10776,98.56398060916491,98.47916118155099,1997,18.265800786609347,18.09562887997115
ros_origin,10,2-10,nontraversable_label,1.2,20,10933,10876,99.47864264154396,99.43160454384495,4192,38.34263239732919,38.3282401032846
ros_origin,10,2-10,potential_label,0.4,20,22822,20780,91.05249320830778,91.63133540856894,878,3.8471650162124265,4.46542716266687
ros_origin,10,2-10,potential_label,0.8,20,22822,22715,99.53115414950486,99.53794926610443,4905,21.492419595127508,24.202794587908265
ros_origin,10,2-10,potential_label,1.2,20,22822,22800,99.90360178774867,99.89332965354842,10050,44.03645605117869,48.104009010039846
ros_origin,10,2-10,raised_geometry,0.4,20,4833,4444,91.95116904614112,91.28226725182364,160,3.3105731429753775,4.890053800829929
ros_origin,10,2-10,raised_geometry,0.8,20,4833,4830,99.93792675356922,99.84811529933481,1013,20.96006621146286,23.802597406653675
ros_origin,10,2-10,raised_geometry,1.2,20,4833,4833,100.0,100.0,2343,48.479205462445684,48.820754636822414
ros_origin,10,2-10,traversable_label,0.4,20,3558,3240,91.06239460370995,91.13097916874193,162,4.5531197301854975,4.776276800679492
ros_origin,10,2-10,traversable_label,0.8,20,3558,3556,99.94378864530636,99.923444024657,873,24.536256323777405,25.662374922943684
ros_origin,10,2-10,traversable_label,1.2,20,3558,3557,99.97189432265317,99.9468085106383,1765,49.60652051714446,48.88166650450138
ros_origin,10,20-30,near_ground_geometry,0.4,12,835,591,70.77844311377245,67.47932305493599,54,6.467065868263473,5.95768724487628
ros_origin,10,20-30,near_ground_geometry,0.8,12,835,820,98.20359281437126,95.51249676249677,261,31.25748502994012,26.825030229422158
ros_origin,10,20-30,near_ground_geometry,1.2,12,835,831,99.52095808383234,97.43589743589745,476,57.0059880239521,50.39620230272385
ros_origin,10,20-30,nontraversable_label,0.4,20,12448,7158,57.503213367609256,61.08916709842093,462,3.711439588688946,4.128576407363139
ros_origin,10,20-30,nontraversable_label,0.8,20,12448,11278,90.6008997429306,92.17400478755857,2123,17.05494858611825,18.264842884569763
ros_origin,10,20-30,nontraversable_label,1.2,20,12448,12031,96.65006426735218,97.35946713751737,3967,31.868573264781492,32.17164779392832
ros_origin,10,20-30,potential_label,0.4,19,6127,4075,66.50889505467602,60.899772279768634,224,3.6559490778521297,2.9906197905344
ros_origin,10,20-30,potential_label,0.8,19,6127,5907,96.40933572710952,92.5443807248189,1065,17.382079321038027,15.587737295860878
ros_origin,10,20-30,potential_label,1.2,19,6127,6073,99.1186551330178,96.3427113573514,1887,30.798106740656113,28.860843374809267
