band_m,true_class,true_group,predicted_class,points
100-150,hedge,vegetation,human,0
100-150,high_grass,vegetation,other,0
100-150,high_grass,vegetation,artificial_structures,0
100-150,high_grass,vegetation,artificial_ground,5
100-150,high_grass,vegetation,natural_ground,266
100-150,high_grass,vegetation,obstacle,1
100-150,high_grass,vegetation,vehicle,0
100-150,high_grass,vegetation,vegetation,1180
100-150,high_grass,vegetation,human,0
100-150,low_grass,ground_cover,other,0
100-150,low_grass,ground_cover,artificial_structures,0
100-150,low_grass,ground_cover,artificial_ground,19
100-150,low_grass,ground_cover,natural_ground,3995
100-150,low_grass,ground_cover,obstacle,10
100-150,low_grass,ground_cover,vehicle,5
100-150,low_grass,ground_cover,vegetation,2205
100-150,low_grass,ground_cover,human,0
100-150,obstacle,obstacle_candidate,other,0
100-150,obstacle,obstacle_candidate,artificial_structures,0
100-150,obstacle,obstacle_candidate,artificial_ground,0
100-150,obstacle,obstacle_candidate,natural_ground,0
100-150,obstacle,obstacle_candidate,obstacle,0
100-150,obstacle,obstacle_candidate,vehicle,0
100-150,obstacle,obstacle_candidate,vegetation,376
100-150,obstacle,obstacle_candidate,human,0
100-150,road_marking,ground_surface,other,0
100-150,road_marking,ground_surface,artificial_structures,0
100-150,road_marking,ground_surface,artificial_ground,0
100-150,road_marking,ground_surface,natural_ground,3
100-150,road_marking,ground_surface,obstacle,0
100-150,road_marking,ground_surface,vehicle,0
100-150,road_marking,ground_surface,vegetation,0
100-150,road_marking,ground_surface,human,0
100-150,soil,ground_surface,other,0
100-150,soil,ground_surface,artificial_structures,0
100-150,soil,ground_surface,artificial_ground,0
100-150,soil,ground_surface,natural_ground,148
100-150,soil,ground_surface,obstacle,0
100-150,soil,ground_surface,vehicle,0
100-150,soil,ground_surface,vegetation,131
100-150,soil,ground_surface,human,0
100-150,street_light,obstacle_candidate,other,0
100-150,street_light,obstacle_candidate,artificial_structures,0
100-150,street_light,obstacle_candidate,artificial_ground,0
100-150,street_light,obstacle_candidate,natural_ground,0
100-150,street_light,obstacle_candidate,obstacle,0
100-150,street_light,obstacle_candidate,vehicle,0
100-150,street_light,obstacle_candidate,vegetation,6
100-150,street_light,obstacle_candidate,human,0
100-150,tree_crown,vegetation,other,0
100-150,tree_crown,vegetation,artificial_structures,0
100-150,tree_crown,vegetation,artificial_ground,0
100-150,tree_crown,vegetation,natural_ground,0
100-150,tree_crown,vegetation,obstacle,22
100-150,tree_crown,vegetation,vehicle,0
100-150,tree_crown,vegetation,vegetation,2375
100-150,tree_crown,vegetation,human,0
100-150,tree_trunk,obstacle_candidate,other,0
100-150,tree_trunk,obstacle_candidate,artificial_structures,0
100-150,tree_trunk,obstacle_candidate,artificial_ground,0
100-150,tree_trunk,obstacle_candidate,natural_ground,0
100-150,tree_trunk,obstacle_candidate,obstacle,0
100-150,tree_trunk,obstacle_candidate,vehicle,0
100-150,tree_trunk,obstacle_candidate,vegetation,86
100-150,tree_trunk,obstacle_candidate,human,0
100-150,undefined,excluded,other,0
100-150,undefined,excluded,artificial_structures,0
100-150,undefined,excluded,artificial_ground,0
100-150,undefined,excluded,natural_ground,0
100-150,undefined,excluded,obstacle,0
100-150,undefined,excluded,vehicle,0
100-150,undefined,excluded,vegetation,1
100-150,undefined,excluded,human,0
150+,building,obstacle_candidate,other,0
150+,building,obstacle_candidate,artificial_structures,640
150+,building,obstacle_candidate,artificial_ground,0
150+,building,obstacle_candidate,natural_ground,169
150+,building,obstacle_candidate,obstacle,30
150+,building,obstacle_candidate,vehicle,0
150+,building,obstacle_candidate,vegetation,127
150+,building,obstacle_candidate,human,0
150+,bush,vegetation,other,0
150+,bush,vegetation,artificial_structures,87
150+,bush,vegetation,artificial_ground,0
150+,bush,vegetation,natural_ground,56
150+,bush,vegetation,obstacle,33
150+,bush,vegetation,vehicle,2
150+,bush,vegetation,vegetation,7035
150+,bush,vegetation,human,0
150+,fence,obstacle_candidate,other,0
150+,fence,obstacle_candidate,artificial_structures,0
150+,fence,obstacle_candidate,artificial_ground,0
150+,fence,obstacle_candidate,natural_ground,15
150+,fence,obstacle_candidate,obstacle,129
150+,fence,obstacle_candidate,vehicle,0
150+,fence,obstacle_candidate,vegetation,49
150+,fence,obstacle_candidate,human,0
150+,hedge,vegetation,other,0
150+,hedge,vegetation,artificial_structures,142
150+,hedge,vegetation,artificial_ground,0
150+,hedge,vegetation,natural_ground,140
150+,hedge,vegetation,obstacle,4
150+,hedge,vegetation,vehicle,0
150+,hedge,vegetation,vegetation,22234
150+,hedge,vegetation,human,0
150+,high_grass,vegetation,other,0
150+,high_grass,vegetation,artificial_structures,0
150+,high_grass,vegetation,artificial_ground,0
150+,high_grass,vegetation,natural_ground,17
150+,high_grass,vegetation,obstacle,0
150+,high_grass,vegetation,vehicle,0
150+,high_grass,vegetation,vegetation,35
150+,high_grass,vegetation,human,0
150+,low_grass,ground_cover,other,0
150+,low_grass,ground_cover,artificial_structures,0
150+,low_grass,ground_cover,artificial_ground,3
150+,low_grass,ground_cover,natural_ground,390
150+,low_grass,ground_cover,obstacle,0
150+,low_grass,ground_cover,vehicle,0
150+,low_grass,ground_cover,vegetation,98
150+,low_grass,ground_cover,human,0
150+,undefined,excluded,other,0
150+,undefined,excluded,artificial_structures,0
150+,undefined,excluded,artificial_ground,0
150+,undefined,excluded,natural_ground,0
150+,undefined,excluded,obstacle,0
150+,undefined,excluded,vehicle,0
150+,undefined,excluded,vegetation,3
150+,undefined,excluded,human,0
25-50,asphalt,ground_surface,other,0
25-50,asphalt,ground_surface,artificial_structures,0
25-50,asphalt,ground_surface,artificial_ground,34560
25-50,asphalt,ground_surface,natural_ground,9691
25-50,asphalt,ground_surface,obstacle,8
25-50,asphalt,ground_surface,vehicle,0
25-50,asphalt,ground_surface,vegetation,438
25-50,asphalt,ground_surface,human,0
25-50,building,obstacle_candidate,other,0
25-50,building,obstacle_candidate,artificial_structures,116059
25-50,building,obstacle_candidate,artificial_ground,26
25-50,building,obstacle_candidate,natural_ground,500
25-50,building,obstacle_candidate,obstacle,593
25-50,building,obstacle_candidate,vehicle,5
25-50,building,obstacle_candidate,vegetation,990
25-50,building,obstacle_candidate,human,0
25-50,bush,vegetation,other,0
25-50,bush,vegetation,artificial_structures,34
25-50,bush,vegetation,artificial_ground,0
25-50,bush,vegetation,natural_ground,571
25-50,bush,vegetation,obstacle,620
25-50,bush,vegetation,vehicle,0
25-50,bush,vegetation,vegetation,84337
25-50,bush,vegetation,human,0
25-50,container,obstacle_candidate,other,0
25-50,container,obstacle_candidate,artificial_structures,0
25-50,container,obstacle_candidate,artificial_ground,6
25-50,container,obstacle_candidate,natural_ground,1
25-50,container,obstacle_candidate,obstacle,218
25-50,container,obstacle_candidate,vehicle,0
25-50,container,obstacle_candidate,vegetation,498
25-50,container,obstacle_candidate,human,0
25-50,fence,obstacle_candidate,other,0
25-50,fence,obstacle_candidate,artificial_structures,129
25-50,fence,obstacle_candidate,artificial_ground,8
25-50,fence,obstacle_candidate,natural_ground,347
25-50,fence,obstacle_candidate,obstacle,14300
25-50,fence,obstacle_candidate,vehicle,0
25-50,fence,obstacle_candidate,vegetation,12082
25-50,fence,obstacle_candidate,human,0
25-50,heavy_machinery,obstacle_candidate,other,0
25-50,heavy_machinery,obstacle_candidate,artificial_structures,134
25-50,heavy_machinery,obstacle_candidate,artificial_ground,0
25-50,heavy_machinery,obstacle_candidate,natural_ground,72
25-50,heavy_machinery,obstacle_candidate,obstacle,245
25-50,heavy_machinery,obstacle_candidate,vehicle,709
25-50,heavy_machinery,obstacle_candidate,vegetation,67
25-50,heavy_machinery,obstacle_candidate,human,0
25-50,hedge,vegetation,other,0
25-50,hedge,vegetation,artificial_structures,0
25-50,hedge,vegetation,artificial_ground,0
25-50,hedge,vegetation,natural_ground,415
25-50,hedge,vegetation,obstacle,161
25-50,hedge,vegetation,vehicle,0
25-50,hedge,vegetation,vegetation,55071
25-50,hedge,vegetation,human,0
25-50,high_grass,vegetation,other,0
25-50,high_grass,vegetation,artificial_structures,8
25-50,high_grass,vegetation,artificial_ground,89
25-50,high_grass,vegetation,natural_ground,10087
25-50,high_grass,vegetation,obstacle,1637
25-50,high_grass,vegetation,vehicle,0
25-50,high_grass,vegetation,vegetation,91889
25-50,high_grass,vegetation,human,0
25-50,low_grass,ground_cover,other,0
25-50,low_grass,ground_cover,artificial_structures,0
25-50,low_grass,ground_cover,artificial_ground,10
25-50,low_grass,ground_cover,natural_ground,50895
25-50,low_grass,ground_cover,obstacle,100
25-50,low_grass,ground_cover,vehicle,0
25-50,low_grass,ground_cover,vegetation,14287
25-50,low_grass,ground_cover,human,0
25-50,misc_sign,obstacle_candidate,other,0
25-50,misc_sign,obstacle_candidate,artificial_structures,0
25-50,misc_sign,obstacle_candidate,artificial_ground,0
25-50,misc_sign,obstacle_candidate,natural_ground,0
25-50,misc_sign,obstacle_candidate,obstacle,233
25-50,misc_sign,obstacle_candidate,vehicle,0
25-50,misc_sign,obstacle_candidate,vegetation,0
25-50,misc_sign,obstacle_candidate,human,0
25-50,obstacle,obstacle_candidate,other,0
25-50,obstacle,obstacle_candidate,artificial_structures,47
25-50,obstacle,obstacle_candidate,artificial_ground,1
25-50,obstacle,obstacle_candidate,natural_ground,282
25-50,obstacle,obstacle_candidate,obstacle,253
25-50,obstacle,obstacle_candidate,vehicle,0
25-50,obstacle,obstacle_candidate,vegetation,618
25-50,obstacle,obstacle_candidate,human,0
25-50,pipe,obstacle_candidate,other,0
25-50,pipe,obstacle_candidate,artificial_structures,0
25-50,pipe,obstacle_candidate,artificial_ground,0
25-50,pipe,obstacle_candidate,natural_ground,0
25-50,pipe,obstacle_candidate,obstacle,158
25-50,pipe,obstacle_candidate,vehicle,0
25-50,pipe,obstacle_candidate,vegetation,143
25-50,pipe,obstacle_candidate,human,0
25-50,pole,obstacle_candidate,other,0
25-50,pole,obstacle_candidate,artificial_structures,0
25-50,pole,obstacle_candidate,artificial_ground,0
25-50,pole,obstacle_candidate,natural_ground,13
25-50,pole,obstacle_candidate,obstacle,607
25-50,pole,obstacle_candidate,vehicle,0
25-50,pole,obstacle_candidate,vegetation,382
25-50,pole,obstacle_candidate,human,0
25-50,road_marking,ground_surface,other,0
25-50,road_marking,ground_surface,artificial_structures,0
25-50,road_marking,ground_surface,artificial_ground,265
25-50,road_marking,ground_surface,natural_ground,442
25-50,road_marking,ground_surface,obstacle,0
25-50,road_marking,ground_surface,vehicle,0
25-50,road_marking,ground_surface,vegetation,186
25-50,road_marking,ground_surface,human,0
25-50,soil,ground_surface,other,0
25-50,soil,ground_surface,artificial_structures,0
25-50,soil,ground_surface,artificial_ground,0
25-50,soil,ground_surface,natural_ground,3007
25-50,soil,ground_surface,obstacle,16
25-50,soil,ground_surface,vehicle,0
25-50,soil,ground_surface,vegetation,173
25-50,soil,ground_surface,human,0
25-50,street_light,obstacle_candidate,other,0
25-50,street_light,obstacle_candidate,artificial_structures,59
25-50,street_light,obstacle_candidate,artificial_ground,0
25-50,street_light,obstacle_candidate,natural_ground,0
25-50,street_light,obstacle_candidate,obstacle,454
25-50,street_light,obstacle_candidate,vehicle,0
25-50,street_light,obstacle_candidate,vegetation,20
25-50,street_light,obstacle_candidate,human,0
25-50,traffic_sign,obstacle_candidate,other,0
25-50,traffic_sign,obstacle_candidate,artificial_structures,0
25-50,traffic_sign,obstacle_candidate,artificial_ground,0
25-50,traffic_sign,obstacle_candidate,natural_ground,0
25-50,traffic_sign,obstacle_candidate,obstacle,13
25-50,traffic_sign,obstacle_candidate,vehicle,0
25-50,traffic_sign,obstacle_candidate,vegetation,0
25-50,traffic_sign,obstacle_candidate,human,0
25-50,tree_crown,vegetation,other,0
25-50,tree_crown,vegetation,artificial_structures,0
25-50,tree_crown,vegetation,artificial_ground,0
25-50,tree_crown,vegetation,natural_ground,0
25-50,tree_crown,vegetation,obstacle,8
25-50,tree_crown,vegetation,vehicle,0
25-50,tree_crown,vegetation,vegetation,1520
25-50,tree_crown,vegetation,human,0
25-50,tree_trunk,obstacle_candidate,other,0
25-50,tree_trunk,obstacle_candidate,artificial_structures,0
25-50,tree_trunk,obstacle_candidate,artificial_ground,0
25-50,tree_trunk,obstacle_candidate,natural_ground,0
25-50,tree_trunk,obstacle_candidate,obstacle,13
25-50,tree_trunk,obstacle_candidate,vehicle,0
25-50,tree_trunk,obstacle_candidate,vegetation,47
25-50,tree_trunk,obstacle_candidate,human,0
50-75,asphalt,ground_surface,other,0
50-75,asphalt,ground_surface,artificial_structures,0
50-75,asphalt,ground_surface,artificial_ground,3436
50-75,asphalt,ground_surface,natural_ground,1082
50-75,asphalt,ground_surface,obstacle,0
50-75,asphalt,ground_surface,vehicle,0
50-75,asphalt,ground_surface,vegetation,130
50-75,asphalt,ground_surface,human,0
50-75,building,obstacle_candidate,other,0
50-75,building,obstacle_candidate,artificial_structures,65258
50-75,building,obstacle_candidate,artificial_ground,52
50-75,building,obstacle_candidate,natural_ground,481
50-75,building,obstacle_candidate,obstacle,804
50-75,building,obstacle_candidate,vehicle,0
50-75,building,obstacle_candidate,vegetation,1151
50-75,building,obstacle_candidate,human,0
50-75,bush,vegetation,other,0
50-75,bush,vegetation,artificial_structures,8
50-75,bush,vegetation,artificial_ground,1
50-75,bush,vegetation,natural_ground,226
50-75,bush,vegetation,obstacle,219
50-75,bush,vegetation,vehicle,0
50-75,bush,vegetation,vegetation,65893
50-75,bush,vegetation,human,0
50-75,container,obstacle_candidate,other,0
50-75,container,obstacle_candidate,artificial_structures,0
50-75,container,obstacle_candidate,artificial_ground,0
50-75,container,obstacle_candidate,natural_ground,0
50-75,container,obstacle_candidate,obstacle,0
50-75,container,obstacle_candidate,vehicle,0
50-75,container,obstacle_candidate,vegetation,25
50-75,container,obstacle_candidate,human,0
50-75,fence,obstacle_candidate,other,0
50-75,fence,obstacle_candidate,artificial_structures,52
50-75,fence,obstacle_candidate,artificial_ground,15
50-75,fence,obstacle_candidate,natural_ground,63
50-75,fence,obstacle_candidate,obstacle,2089
50-75,fence,obstacle_candidate,vehicle,0
50-75,fence,obstacle_candidate,vegetation,2271
50-75,fence,obstacle_candidate,human,0
50-75,heavy_machinery,obstacle_candidate,other,0
50-75,heavy_machinery,obstacle_candidate,artificial_structures,17
50-75,heavy_machinery,obstacle_candidate,artificial_ground,0
50-75,heavy_machinery,obstacle_candidate,natural_ground,0
50-75,heavy_machinery,obstacle_candidate,obstacle,64
50-75,heavy_machinery,obstacle_candidate,vehicle,4
50-75,heavy_machinery,obstacle_candidate,vegetation,2
50-75,heavy_machinery,obstacle_candidate,human,0
50-75,hedge,vegetation,other,0
50-75,hedge,vegetation,artificial_structures,20
50-75,hedge,vegetation,artificial_ground,0
50-75,hedge,vegetation,natural_ground,852
50-75,hedge,vegetation,obstacle,47
50-75,hedge,vegetation,vehicle,0
50-75,hedge,vegetation,vegetation,56212
50-75,hedge,vegetation,human,0
50-75,high_grass,vegetation,other,0
50-75,high_grass,vegetation,artificial_structures,0
50-75,high_grass,vegetation,artificial_ground,26
