mode,margin_m,band_m,cohort,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
acquisition_aligned,0,200-250,vehicles,255,9,1,186,105,85,101,20,49,72.94117647058823,41.17647058823529,31.76470588235294,200.01251389859453,249.9157658332935,65.09803921568627,60.3921568627451,0.0,11.0,91.5,503.59999999999997,70.84440900230375,11.372549019607844,0.39215686274509803,0.0,0.0,1.0,3.0,38.123685366248296
acquisition_aligned,0,250-300,all,594,28,1,482,90,81,401,9,103,81.14478114478115,15.151515151515152,65.993265993266,250.11739360716103,299.87006924638484,73.56902356902357,67.67676767676768,2.0,8.0,20.0,68.0,82.10621929931393,0.33670033670033667,0.0,0.0,0.0,0.0,1.0,6.306902400408733
acquisition_aligned,0,250-300,vehicles,264,5,1,194,87,78,116,9,61,73.48484848484848,32.95454545454545,40.53030303030303,250.11750228053708,299.5495255467652,68.56060606060606,62.5,0.0,7.0,58.5,88.0,67.72946859903382,0.7575757575757576,0.0,0.0,0.0,1.0,1.0,31.8546011547072
acquisition_aligned,0,300-400,all,317,17,1,256,27,27,229,0,61,80.7570977917981,8.517350157728707,72.2397476340694,300.0392261284474,398.2987651940153,75.0788643533123,67.19242902208202,3.0,10.0,16.0,48.400000000000034,72.75571116612188,0.0,0.0,0.0,0.0,0.0,0.0,2.5909149161744316
acquisition_aligned,0,300-400,vehicles,88,3,1,75,23,23,52,0,13,85.22727272727273,26.136363636363637,59.09090909090909,305.3321725206024,360.39229981232,82.95454545454545,79.54545454545455,6.0,33.0,63.0,84.0,71.99999999999999,0.0,0.0,0.0,0.0,1.0,1.2999999999999972,10.222222222222221
acquisition_aligned,0.5,100-150,all,1213,58,1,1143,845,820,323,25,45,94.22918384171476,69.66199505358614,24.567188788128615,100.01457537159469,149.98265214178997,90.60181368507831,88.04616652926627,17.0,51.0,90.0,289.1999999999998,90.19270029202183,21.51690024732069,11.046990931574609,0.0,1.0,2.0,7.0,61.28580035828934
acquisition_aligned,0.5,100-150,vehicles,238,19,1,201,174,158,43,16,21,84.45378151260505,73.10924369747899,11.344537815126055,100.72348409572426,149.98265214178997,66.38655462184873,58.40336134453782,2.0,6.5,307.75,554.4000000000001,81.35566188197767,59.2436974789916,55.04201680672269,0.0,7.0,16.0,27.30000000000001,61.67663476874004
acquisition_aligned,0.5,150-200,all,1329,49,1,1199,806,746,453,60,70,90.21820917983446,60.64710308502633,29.57110609480813,150.0086873666493,199.9727196236663,88.33709556057185,85.10158013544017,10.0,27.0,66.0,569.6000000000001,91.047668702707,30.39879608728367,24.078254326561325,0.0,1.0,4.0,11.0,46.28665499798901
acquisition_aligned,0.5,150-200,vehicles,579,13,1,482,485,431,51,54,43,83.24697754749567,83.7651122625216,-0.5181347150259086,150.0086873666493,199.9727196236663,79.62003454231433,75.12953367875647,5.0,18.0,522.0,727.8000000000002,82.08624571077922,66.83937823834198,55.26770293609672,1.0,5.0,10.0,20.0,62.931881288658175
acquisition_aligned,0.5,200-250,all,767,41,1,701,337,299,402,38,28,91.39504563233378,43.9374185136897,47.45762711864407,200.00315051034195,249.99656504791636,87.8748370273794,82.52933507170795,7.0,22.0,44.0,145.5999999999999,92.17399303860076,10.951760104302476,4.823989569752282,0.0,0.0,1.0,3.0,35.778317481374714
